column,concept,esrs,confidence,status,reason,scores,method
timestamp,metadata,,0.0,excluded_metadata,metadata detected,{},
site,metadata,,0.0,excluded_metadata,metadata detected,{},
elec_use_kwh,energy_consumption,E1,0.65,mapped,"{'column': 'elec_use_kwh', 'decision_path': {'rule_trigger': 'energy_unit_rule', 'semantic_best_match': 'energy_consumption', 'semantic_score': 0.422}, 'top_alternatives': [('energy_consumption', 0.42155593633651733), ('ghg_scope2', 0.19675981998443604), ('waste', 0.19329270720481873)], 'decision': 'energy_consumption selected based on hybrid rule + semantic scoring'}","{'energy_consumption': 0.42155593633651733, 'ghg_scope1': 0.14004364609718323, 'ghg_scope2': 0.19675981998443604, 'water_usage': 0.16431944072246552, 'waste': 0.19329270720481873, 'fuel_consumption': 0.16579654812812805}",rule_override:energy_unit_rule
energy,energy_consumption,E1,0.65,mapped,"{'column': 'energy', 'decision_path': {'rule_trigger': 'energy_unit_rule', 'semantic_best_match': 'energy_consumption', 'semantic_score': 0.317}, 'top_alternatives': [('energy_consumption', 0.31669044494628906), ('ghg_scope2', 0.24440592527389526), ('fuel_consumption', 0.2112305760383606)], 'decision': 'energy_consumption selected based on hybrid rule + semantic scoring'}","{'energy_consumption': 0.31669044494628906, 'ghg_scope1': 0.12780509889125824, 'ghg_scope2': 0.24440592527389526, 'water_usage': 0.12276087701320648, 'waste': 0.11073991656303406, 'fuel_consumption': 0.2112305760383606}",rule_override:energy_unit_rule
CO2 Scope1,ghg_scope1,E1,0.85,mapped,"{'column': 'CO2 Scope1', 'decision_path': {'rule_trigger': 'hard_rule_scope1', 'semantic_best_match': 'ghg_scope1', 'semantic_score': 0.29}, 'top_alternatives': [('ghg_scope2', 0.289632111787796), ('ghg_scope1', 0.20841583609580994), ('waste', 0.15354613959789276)], 'decision': 'ghg_scope1 selected based on hybrid rule + semantic scoring'}","{'energy_consumption': 0.04817233234643936, 'ghg_scope1': 0.20841583609580994, 'ghg_scope2': 0.289632111787796, 'water_usage': 0.09190171957015991, 'waste': 0.15354613959789276, 'fuel_consumption': 0.12981688976287842}",rule_override:hard_rule_scope1
co2_emissions,ghg_scope2,E1,0.65,mapped,"{'column': 'co2_emissions', 'decision_path': {'rule_trigger': 'co2_default_scope2_rule', 'semantic_best_match': 'ghg_scope2', 'semantic_score': 0.524}, 'top_alternatives': [('ghg_scope2', 0.5237782001495361), ('ghg_scope1', 0.36488083004951477), ('fuel_consumption', 0.29640570282936096)], 'decision': 'ghg_scope2 selected based on hybrid rule + semantic scoring'}","{'energy_consumption': 0.1917274445295334, 'ghg_scope1': 0.36488083004951477, 'ghg_scope2': 0.5237782001495361, 'water_usage': 0.20921865105628967, 'waste': 0.22688762843608856, 'fuel_consumption': 0.29640570282936096}",rule_override:co2_default_scope2_rule
water usage liters,water_usage,E3,0.720311164855957,mapped,"{'column': 'water usage liters', 'decision_path': {'rule_trigger': 'water_keyword_rule', 'semantic_best_match': 'water_usage', 'semantic_score': 0.72}, 'top_alternatives': [('water_usage', 0.720311164855957), ('energy_consumption', 0.28747981786727905), ('fuel_consumption', 0.23535749316215515)], 'decision': 'water_usage selected based on hybrid rule + semantic scoring'}","{'energy_consumption': 0.28747981786727905, 'ghg_scope1': 0.10542656481266022, 'ghg_scope2': 0.14761650562286377, 'water_usage': 0.720311164855957, 'waste': 0.20753240585327148, 'fuel_consumption': 0.23535749316215515}",semantic_primary
wasteKg,waste,E5,0.65,mapped,"{'column': 'wasteKg', 'decision_path': {'rule_trigger': 'waste_keyword_rule', 'semantic_best_match': 'waste', 'semantic_score': 0.505}, 'top_alternatives': [('waste', 0.5053848028182983), ('ghg_scope2', 0.13008533418178558), ('energy_consumption', 0.12087774276733398)], 'decision': 'waste selected based on hybrid rule + semantic scoring'}","{'energy_consumption': 0.12087774276733398, 'ghg_scope1': 0.08339432626962662, 'ghg_scope2': 0.13008533418178558, 'water_usage': 0.08510806411504745, 'waste': 0.5053848028182983, 'fuel_consumption': 0.06934306770563126}",rule_override:waste_keyword_rule
gas_consumption,fuel_consumption,E1,0.6,mapped,"{'column': 'gas_consumption', 'decision_path': {'rule_trigger': 'fuel_rule', 'semantic_best_match': 'fuel_consumption', 'semantic_score': 0.527}, 'top_alternatives': [('fuel_consumption', 0.5273401737213135), ('water_usage', 0.32540613412857056), ('ghg_scope1', 0.32110193371772766)], 'decision': 'fuel_consumption selected based on hybrid rule + semantic scoring'}","{'energy_consumption': 0.30418911576271057, 'ghg_scope1': 0.32110193371772766, 'ghg_scope2': 0.2416614443063736, 'water_usage': 0.32540613412857056, 'waste': 0.10961541533470154, 'fuel_consumption': 0.5273401737213135}",rule_override:fuel_rule
production_output,unknown,UNKNOWN,0.2464640736579895,low_confidence,no strong match,"{'energy_consumption': 0.08362700045108795, 'ghg_scope1': 0.1747158169746399, 'ghg_scope2': 0.12656047940254211, 'water_usage': 0.13350221514701843, 'waste': 0.2464640736579895, 'fuel_consumption': 0.1678604930639267}",
