column,concept,esrs,confidence,status,reason,scores
timestamp,metadata,,0.0,excluded_metadata,metadata field detected,
site,metadata,,0.0,excluded_metadata,metadata field detected,
elec_use_kwh,energy_consumption,E1,0.4411531984806061,mapped,Column 'elec_use_kwh' mapped to 'energy_consumption' using semantic similarity + ESRS constraints,"{'energy_consumption': 0.4411531984806061, 'ghg_scope1': 0.1622782051563263, 'ghg_scope2': 0.23184800148010254, 'water_usage': 0.143573597073555, 'waste': 0.2000991404056549}"
energy,unknown,UNKNOWN,0.3154611587524414,low_confidence,no strong semantic match,"{'energy_consumption': 0.3154611587524414, 'ghg_scope1': 0.13205105066299438, 'ghg_scope2': 0.2839641273021698, 'water_usage': 0.131102055311203, 'waste': 0.13152529299259186}"
CO2 Scope1,ghg_scope1,E1,0.43121522665023804,mapped,Column 'CO2 Scope1' mapped to 'ghg_scope1' using semantic similarity + ESRS constraints,"{'energy_consumption': 0.05606813728809357, 'ghg_scope1': 0.3592531681060791, 'ghg_scope2': 0.43121522665023804, 'water_usage': 0.10457730293273926, 'waste': 0.126911461353302}"
co2_emissions,ghg_scope2,E1,0.5278146266937256,mapped,Column 'co2_emissions' mapped to 'ghg_scope2' using semantic similarity + ESRS constraints,"{'energy_consumption': 0.23070400953292847, 'ghg_scope1': 0.39640679955482483, 'ghg_scope2': 0.5278146266937256, 'water_usage': 0.1982109695672989, 'waste': 0.21326982975006104}"
water usage liters,water_usage,E3,0.5676274299621582,mapped,Column 'water usage liters' mapped to 'water_usage' using semantic similarity + ESRS constraints,"{'energy_consumption': 0.26760202646255493, 'ghg_scope1': 0.09058278799057007, 'ghg_scope2': 0.09727618098258972, 'water_usage': 0.5676274299621582, 'waste': 0.16383486986160278}"
wasteKg,waste,E5,0.5557268857955933,mapped,Column 'wasteKg' mapped to 'waste' using semantic similarity + ESRS constraints,"{'energy_consumption': 0.09886988997459412, 'ghg_scope1': 0.056522004306316376, 'ghg_scope2': 0.11387347429990768, 'water_usage': 0.09413321316242218, 'waste': 0.5557268857955933}"
gas_consumption,unknown,UNKNOWN,0.3396364450454712,low_confidence,no strong semantic match,"{'energy_consumption': 0.3396364450454712, 'ghg_scope1': 0.3241581320762634, 'ghg_scope2': 0.24556562304496765, 'water_usage': 0.29211103916168213, 'waste': 0.10517516732215881}"
production_output,unknown,UNKNOWN,0.18665194511413574,low_confidence,no strong semantic match,"{'energy_consumption': 0.07373590767383575, 'ghg_scope1': 0.18665194511413574, 'ghg_scope2': 0.10631558299064636, 'water_usage': 0.11070845276117325, 'waste': 0.12144708633422852}"
