column,concept,esrs,confidence,status,reason,scores
timestamp,metadata,,0.0,excluded_metadata,metadata detected,{}
site,metadata,,0.0,excluded_metadata,metadata detected,{}
elec_use_kwh,energy_consumption,E1,0.44265514612197876,mapped,Mapped via semantic + semantic similarity,"{'energy_consumption': 0.44265514612197876, 'ghg_scope1': 0.1404634267091751, 'ghg_scope2': 0.23367929458618164, 'water_usage': 0.17499588429927826, 'waste': 0.19200380146503448, 'fuel_consumption': 0.16995462775230408}"
energy,unknown,UNKNOWN,0.33522123098373413,low_confidence,no strong match,"{'energy_consumption': 0.33522123098373413, 'ghg_scope1': 0.13469284772872925, 'ghg_scope2': 0.2748117446899414, 'water_usage': 0.13462507724761963, 'waste': 0.13089075684547424, 'fuel_consumption': 0.2128569483757019}"
CO2 Scope1,ghg_scope1,E1,0.85,mapped,Mapped via hard_rule_scope1 + semantic similarity,"{'energy_consumption': 0.0632571280002594, 'ghg_scope1': 0.17842966318130493, 'ghg_scope2': 0.4161972105503082, 'water_usage': 0.11103099584579468, 'waste': 0.12122809886932373, 'fuel_consumption': 0.20138445496559143}"
co2_emissions,ghg_scope2,E1,0.5401091575622559,mapped,Mapped via co2_default_scope2_rule + semantic similarity,"{'energy_consumption': 0.26837509870529175, 'ghg_scope1': 0.3637487590312958, 'ghg_scope2': 0.5401091575622559, 'water_usage': 0.20176154375076294, 'waste': 0.20680391788482666, 'fuel_consumption': 0.38709044456481934}"
water usage liters,water_usage,E3,0.5921557545661926,mapped,Mapped via semantic + semantic similarity,"{'energy_consumption': 0.27159589529037476, 'ghg_scope1': 0.07775527238845825, 'ghg_scope2': 0.09860742092132568, 'water_usage': 0.5921557545661926, 'waste': 0.15271079540252686, 'fuel_consumption': 0.2033347636461258}"
wasteKg,waste,E5,0.5594009160995483,mapped,Mapped via semantic + semantic similarity,"{'energy_consumption': 0.09109731018543243, 'ghg_scope1': 0.08648733794689178, 'ghg_scope2': 0.12146493792533875, 'water_usage': 0.0945785790681839, 'waste': 0.5594009160995483, 'fuel_consumption': 0.08594819158315659}"
gas_consumption,fuel_consumption,UNKNOWN,0.4605283737182617,mapped,Mapped via semantic + semantic similarity,"{'energy_consumption': 0.3707124888896942, 'ghg_scope1': 0.3122982978820801, 'ghg_scope2': 0.2504400610923767, 'water_usage': 0.32723096013069153, 'waste': 0.0991908460855484, 'fuel_consumption': 0.4605283737182617}"
production_output,unknown,UNKNOWN,0.1825847327709198,low_confidence,no strong match,"{'energy_consumption': 0.08579793572425842, 'ghg_scope1': 0.1758386194705963, 'ghg_scope2': 0.11893521994352341, 'water_usage': 0.10591015219688416, 'waste': 0.1142120361328125, 'fuel_consumption': 0.1825847327709198}"
