column,final_decision,decision_mode,confidence,esrs,reasoning_chain,rule_result,semantic_result,conflict,scores
timestamp,metadata,excluded,1.0,,['Filtered as metadata'],,,,nan
site_id,unknown,failed,0.0,N/A,['No match found'],,,,nan
location_country,unknown,failed,0.0,N/A,['No match found'],,,,nan
purchased_electricity_mwh,energy_consumption,semantic_dominant,0.8446,E1-5,"['Rule: None', 'Sem: energy_consumption', 'Mode: semantic_dominant']",,energy_consumption,False,"{'energy_consumption': np.float64(0.8691746970314976), 'ghg_scope1': np.float64(0.003898276048322717), 'ghg_scope2': np.float64(0.12278013404515882), 'water_usage': np.float64(0.0021493613252116395), 'waste': np.float64(0.00039127661533297254), 'fuel_consumption': np.float64(0.0016062549344761177)}"
total_fuel_oil_liters,water_usage,semantic_dominant,0.5451,E3-4,"['Rule: fuel_consumption', 'Sem: water_usage', 'Mode: semantic_dominant']",fuel_consumption,water_usage,True,"{'energy_consumption': np.float64(0.002623529671443702), 'ghg_scope1': np.float64(0.003327693327866768), 'ghg_scope2': np.float64(0.0007201778788271252), 'water_usage': np.float64(0.619519520591697), 'waste': np.float64(0.0018236014592402376), 'fuel_consumption': np.float64(0.37198547707092516)}"
scope1_direct_emissions,ghg_scope1,aligned,0.8038,E1-6,"['Rule: ghg_scope1', 'Sem: ghg_scope1', 'Mode: aligned']",ghg_scope1,ghg_scope1,False,"{'energy_consumption': np.float64(0.00037550664452120746), 'ghg_scope1': np.float64(0.8352689093276817), 'ghg_scope2': np.float64(0.15747149774408506), 'water_usage': np.float64(0.0002503011443501223), 'waste': np.float64(0.0005707781377861345), 'fuel_consumption': np.float64(0.006063007001575761)}"
emissions_indirect_market_based,ghg_scope2,semantic_dominant,0.9411,E1-6,"['Rule: None', 'Sem: ghg_scope2', 'Mode: semantic_dominant']",,ghg_scope2,False,"{'energy_consumption': np.float64(0.000352226352207264), 'ghg_scope1': np.float64(0.04785326515651556), 'ghg_scope2': np.float64(0.9506709943831289), 'water_usage': np.float64(3.8558308489185456e-05), 'waste': np.float64(0.00017817142737333396), 'fuel_consumption': np.float64(0.000906784372285777)}"
freshwater_withdrawal_m3,water_usage,aligned,0.9996,E3-4,"['Rule: water_usage', 'Sem: water_usage', 'Mode: aligned']",water_usage,water_usage,False,"{'energy_consumption': np.float64(8.332195590904603e-05), 'ghg_scope1': np.float64(0.00011070772561421124), 'ghg_scope2': np.float64(5.241741534299905e-05), 'water_usage': np.float64(0.9996588973912378), 'waste': np.float64(7.90555388481578e-05), 'fuel_consumption': np.float64(1.5599973047783482e-05)}"
hazardous_waste_disposed_kg,waste,aligned,0.9915,E5-3,"['Rule: waste', 'Sem: waste', 'Mode: aligned']",waste,waste,False,"{'energy_consumption': np.float64(0.00020721337217998438), 'ghg_scope1': np.float64(0.0014278159151947078), 'ghg_scope2': np.float64(0.0001216996181009669), 'water_usage': np.float64(0.005137110024671687), 'waste': np.float64(0.9925750385049732), 'fuel_consumption': np.float64(0.0005311225648794757)}"
non_hazardous_trash,waste,semantic_dominant,0.9786,E5-3,"['Rule: None', 'Sem: waste', 'Mode: semantic_dominant']",,waste,False,"{'energy_consumption': np.float64(5.978163269104143e-05), 'ghg_scope1': np.float64(0.01229713047088279), 'ghg_scope2': np.float64(0.0014721608550043086), 'water_usage': np.float64(0.003380596498185539), 'waste': np.float64(0.9810184957653351), 'fuel_consumption': np.float64(0.0017718347779012873)}"
production_volume_units,unknown,failed,0.0,N/A,['No match found'],,,,nan
employee_count,unknown,failed,0.0,N/A,['No match found'],,,,nan
natural_gas_heating_kwh,energy_consumption,aligned,0.7953,E1-5,"['Rule: energy_consumption', 'Sem: energy_consumption', 'Mode: aligned']",energy_consumption,energy_consumption,False,"{'energy_consumption': np.float64(0.8196181594563463), 'ghg_scope1': np.float64(0.008076473051673853), 'ghg_scope2': np.float64(0.05050782679476767), 'water_usage': np.float64(7.193659902525596e-05), 'waste': np.float64(0.0002554701000869357), 'fuel_consumption': np.float64(0.12147013399809996)}"
biomass_energy,energy_consumption,rule_dominant,0.3997,E1-5,"['Rule: energy_consumption', 'Sem: fuel_consumption', 'Mode: rule_dominant']",energy_consumption,fuel_consumption,True,"{'energy_consumption': np.float64(0.4102302594067962), 'ghg_scope1': np.float64(0.01848337117445585), 'ghg_scope2': np.float64(0.07995438145801737), 'water_usage': np.float64(0.0014763465062627205), 'waste': np.float64(0.008099639132213496), 'fuel_consumption': np.float64(0.48175600232225435)}"
recycled_plastic_weight,waste,semantic_dominant,0.9706,E5-3,"['Rule: None', 'Sem: waste', 'Mode: semantic_dominant']",,waste,False,"{'energy_consumption': np.float64(0.002128917356295976), 'ghg_scope1': np.float64(0.0014983289164709056), 'ghg_scope2': np.float64(0.0021665395627363778), 'water_usage': np.float64(0.017137535799757055), 'waste': np.float64(0.974023553240122), 'fuel_consumption': np.float64(0.0030451251246175178)}"
cooling_water_discharge,water_usage,rule_dominant,0.2327,E3-4,"['Rule: water_usage', 'Sem: None', 'Mode: rule_dominant']",water_usage,,False,"{'energy_consumption': 0.1922474205493927, 'ghg_scope1': 0.14967170357704163, 'ghg_scope2': 0.1702946424484253, 'water_usage': 0.2711350917816162, 'waste': -0.018007803708314896, 'fuel_consumption': 0.029935456812381744}"
co2_transport_fleet,ghg_scope1,semantic_dominant,0.4828,E1-6,"['Rule: ghg_scope2', 'Sem: ghg_scope1', 'Mode: semantic_dominant']",ghg_scope2,ghg_scope1,True,"{'energy_consumption': np.float64(0.002233126258490869), 'ghg_scope1': np.float64(0.5512962920535701), 'ghg_scope2': np.float64(0.34234340007606345), 'water_usage': np.float64(0.0006857986629972522), 'waste': np.float64(0.0109508644851901), 'fuel_consumption': np.float64(0.09249051846368828)}"
office_paper_consumption,unknown,failed,0.0,N/A,['No match found'],,,,nan
renewable_energy_share_pct,energy_consumption,aligned,0.5135,E1-5,"['Rule: energy_consumption', 'Sem: energy_consumption', 'Mode: aligned']",energy_consumption,energy_consumption,False,"{'energy_consumption': np.float64(0.5796373322624669), 'ghg_scope1': np.float64(0.055702814659898486), 'ghg_scope2': np.float64(0.33089229195290987), 'water_usage': np.float64(0.0005783602488127319), 'waste': np.float64(0.0035248386000999604), 'fuel_consumption': np.float64(0.029664362275812057)}"
raw_material_input_tons,unknown,failed,0.0,N/A,['No match found'],,,,nan
