column,final_decision,decision_mode,confidence,esrs,conflict
timestamp,metadata,excluded,1.0,,
site_id,metadata,excluded,1.0,,
location_country,metadata,excluded,1.0,,
purchased_electricity_mwh,energy_consumption,aligned,0.9841,E1-5,False
total_fuel_oil_liters,fuel_consumption,aligned,0.9988,E1-5,False
scope1_direct_emissions,ghg_scope2,semantic_override,0.6689,E1-6,True
emissions_indirect_market_based,ghg_scope2,semantic_override,0.9466,E1-6,True
freshwater_withdrawal_m3,water_usage,aligned,0.9999,E3-4,False
hazardous_waste_disposed_kg,waste,aligned,0.9994,E5-3,False
non_hazardous_trash,waste,aligned,0.9995,E5-3,False
production_volume_units,unknown,failed,0.0,N/A,
employee_count,unknown,failed,0.0,N/A,
natural_gas_heating_kwh,fuel_consumption,aligned,0.7775,E1-5,False
biomass_energy,energy_consumption,aligned,0.624,E1-5,False
recycled_plastic_weight,waste,semantic_dominant,1.0,E5-3,False
cooling_water_discharge,water_usage,rule_dominant,0.2133,E3-4,False
co2_transport_fleet,ghg_scope1,semantic_dominant,0.4649,E1-6,False
office_paper_consumption,unknown,failed,0.0,N/A,
renewable_energy_share_pct,energy_consumption,aligned,0.8054,E1-5,False
raw_material_input_tons,unknown,failed,0.0,N/A,
