column,final_decision,decision_mode,confidence,esrs,reasoning_chain,rule_result,semantic_result,conflict,scores,needs_review
timestamp,metadata,excluded,1.0,,['Filtered as metadata'],,,False,nan,
site_id,metadata,excluded,1.0,,['Filtered as metadata'],,,False,nan,
location_country,metadata,excluded,1.0,,['Filtered as metadata'],,,False,nan,
purchased_electricity_mwh,energy_consumption,aligned,0.9732,E1-5,"['Rule: energy_consumption', 'Sem: energy_consumption', 'Mode: aligned']",energy_consumption,energy_consumption,False,"{""energy_consumption"": 0.9774172162112459, ""ghg_scope1"": 0.0007371529646069623, ""ghg_scope2"": 0.021273499250646442, ""water_usage"": 0.00018953047126188898, ""waste"": 0.00012683285095196333, ""fuel_consumption"": 0.00025576825128652937}",False
total_fuel_oil_liters,fuel_consumption,aligned,0.9987,E1-5,"['Rule: fuel_consumption', 'Sem: fuel_consumption', 'Mode: aligned']",fuel_consumption,fuel_consumption,False,"{""energy_consumption"": 5.6671690970685006e-05, ""ghg_scope1"": 0.000911006156933186, ""ghg_scope2"": 0.00014600345279573517, ""water_usage"": 1.600004925138017e-05, ""waste"": 3.3319135066797506e-05, ""fuel_consumption"": 0.9988369995149823}",False
scope1_direct_emissions,ghg_scope1,aligned,0.4143,E1-6,"['Rule: ghg_scope1', 'Sem: ghg_scope1', 'Mode: aligned']",ghg_scope1,ghg_scope1,False,"{""energy_consumption"": 0.0009025334063700973, ""ghg_scope1"": 0.5113294779089184, ""ghg_scope2"": 0.48496392168423724, ""water_usage"": 9.570337361063112e-05, ""waste"": 0.0004754109110783575, ""fuel_consumption"": 0.0022329527157854967}",True
emissions_indirect_market_based,ghg_scope2,semantic_override,0.9026,E1-6,"['Rule: ghg_scope1', 'Sem: ghg_scope2', 'Mode: semantic_override']",ghg_scope1,ghg_scope2,True,"{""energy_consumption"": 0.0020386669379749613, ""ghg_scope1"": 0.07855241259707738, ""ghg_scope2"": 0.9182937054402771, ""water_usage"": 2.87696829737968e-05, ""waste"": 0.0001444518098472394, ""fuel_consumption"": 0.0009419935318494395}",True
freshwater_withdrawal_m3,water_usage,aligned,0.9998,E3-4,"['Rule: water_usage', 'Sem: water_usage', 'Mode: aligned']",water_usage,water_usage,False,"{""energy_consumption"": 4.220677247379249e-05, ""ghg_scope1"": 7.935855635428828e-05, ""ghg_scope2"": 2.9038208849909686e-05, ""water_usage"": 0.9998039144696326, ""waste"": 2.0287529348057433e-05, ""fuel_consumption"": 2.5194463341299183e-05}",False
hazardous_waste_disposed_kg,waste,aligned,0.9994,E5-3,"['Rule: waste', 'Sem: waste', 'Mode: aligned']",waste,waste,False,"{""energy_consumption"": 3.339753135031114e-06, ""ghg_scope1"": 0.00033434598008840323, ""ghg_scope2"": 7.042914152304482e-05, ""water_usage"": 8.292288099936641e-05, ""waste"": 0.9994924677016425, ""fuel_consumption"": 1.649454261169351e-05}",False
non_hazardous_trash,waste,aligned,0.9995,E5-3,"['Rule: waste', 'Sem: waste', 'Mode: aligned']",waste,waste,False,"{""energy_consumption"": 4.6369019059769725e-07, ""ghg_scope1"": 0.0002789487401146047, ""ghg_scope2"": 2.3919908164938802e-05, ""water_usage"": 0.00011075523082298936, ""waste"": 0.9995798106016245, ""fuel_consumption"": 6.1018290824002265e-06}",False
